hash,diff,message,project,split,diff_languages
aadc887cd6198dcb2a3d049933d65fe5e0fbddbf,"diff --git a/src/test/java/com/brettonw/bag/BagArrayTest.java b/src/test/java/com/brettonw/bag/BagArrayTest.java
index <HASH>..<HASH> 100644
--- a/src/test/java/com/brettonw/bag/BagArrayTest.java
+++ b/src/test/java/com/brettonw/bag/BagArrayTest.java
@@ -182,7 +182,7 @@ public class BagArrayTest {
         BagObject bagObject = new BagObject ()
                 .put (""a"", new BagArray ()
                         .add (new BagObject ()
-                            .put (""x"", ""y"")
+                                .put (""x"", ""y"")
                         )
                 );
         AppTest.report (bagObject.getString (""a/#first/x""), ""y"", ""Hierarchical indexing of arrays using strings - 1"");",and a teensy bit more cleanup,brettonw_Bag,val,java
86c0c45a15174fce6cc9c88920c39bad6936d7d5,"diff --git a/emoji/src/main/java/com/vanniktech/emoji/EmojiManager.java b/emoji/src/main/java/com/vanniktech/emoji/EmojiManager.java
index <HASH>..<HASH> 100644
--- a/emoji/src/main/java/com/vanniktech/emoji/EmojiManager.java
+++ b/emoji/src/main/java/com/vanniktech/emoji/EmojiManager.java
@@ -71,7 +71,7 @@ import static com.vanniktech.emoji.Utils.checkNotNull;
     // No instances apart from singleton.
   }
 
-  static EmojiManager getInstance() {
+  public static EmojiManager getInstance() {
     return INSTANCE;
   }",Expose instance so that can access replaceWithImages from external packages (#<I>),vanniktech_Emoji,test,java
ce014a5ffc554553488a07fc956ae2423c71cca2,"diff --git a/android/src/com/google/zxing/client/android/ViewfinderView.java b/android/src/com/google/zxing/client/android/ViewfinderView.java
index <HASH>..<HASH> 100755
--- a/android/src/com/google/zxing/client/android/ViewfinderView.java
+++ b/android/src/com/google/zxing/client/android/ViewfinderView.java
@@ -155,7 +155,11 @@ public final class ViewfinderView extends View {
   }
 
   public void drawViewfinder() {
-    resultBitmap = null;
+    Bitmap resultBitmap = this.resultBitmap;
+    this.resultBitmap = null;
+    if (resultBitmap != null) {
+      resultBitmap.recycle();
+    }
     invalidate();
   }","Fixed potential bug in not recycling bitmaps that I spied from BS+

git-svn-id: <URL>",zxing_zxing,train,java
f21059ec84fcbaec63c39890cf10c73ce14e1701,"diff --git a/sentry-core/src/main/java/io/sentry/core/Sentry.java b/sentry-core/src/main/java/io/sentry/core/Sentry.java
index <HASH>..<HASH> 100644
--- a/sentry-core/src/main/java/io/sentry/core/Sentry.java
+++ b/sentry-core/src/main/java/io/sentry/core/Sentry.java
@@ -35,9 +35,10 @@ public final class Sentry {
     }
     IHub hub = currentHub.get();
     if (hub == null) {
-      currentHub.set(mainHub.clone());
+      hub = mainHub.clone();
+      currentHub.set(hub);
     }
-    return currentHub.get();
+    return hub;
   }
 
   /**",Avoid getting a threadlocal twice. (getsentry/sentry-android#<I>),getsentry_sentry-java,train,java
d8b9ca837b89caf1cf1b8ea907b1c149a53ae0e9,"diff --git a/plugins/storage/hbase/src/test/java/org/mwg/StorageTest.java b/plugins/storage/hbase/src/test/java/org/mwg/StorageTest.java
index <HASH>..<HASH> 100644
--- a/plugins/storage/hbase/src/test/java/org/mwg/StorageTest.java
+++ b/plugins/storage/hbase/src/test/java/org/mwg/StorageTest.java
@@ -1,11 +1,8 @@
 package org.mwg;
 
-import javafx.util.Callback;
-import org.junit.Test;
 import org.mwg.core.scheduler.NoopScheduler;
 import org.mwg.plugin.Job;
 
-import java.io.File;
 import java.io.IOException;
 
 public class StorageTest {",delete unused dependency test (failure on bench server),datathings_greycat,train,java
9a245762ee3c76ea76e90f565301b2b21a22684b,"diff --git a/rest/src/main/java/org/opennms/newts/rest/NewtsDaemon.java b/rest/src/main/java/org/opennms/newts/rest/NewtsDaemon.java
index <HASH>..<HASH> 100644
--- a/rest/src/main/java/org/opennms/newts/rest/NewtsDaemon.java
+++ b/rest/src/main/java/org/opennms/newts/rest/NewtsDaemon.java
@@ -75,7 +75,6 @@ public class NewtsDaemon {
         }
 
         File pidFile = new File(cmdLine.getPidFilename());
-        pidFile.deleteOnExit();
 
         // Daemonize?
         if (cmdLine.isDaemon()) {","NEWTS-<I>: remove redundant deleteOnExit

No need; Gressil does this for us",OpenNMS_newts,train,java
b09b640d15d6a8438ba850c56eb2638b6f60cade,"diff --git a/src/org/citygml4j/model/common/association/Associable.java b/src/org/citygml4j/model/common/association/Associable.java
index <HASH>..<HASH> 100644
--- a/src/org/citygml4j/model/common/association/Associable.java
+++ b/src/org/citygml4j/model/common/association/Associable.java
@@ -1,5 +1,7 @@
 package org.citygml4j.model.common.association;
 
-public interface Associable {
+import org.citygml4j.model.common.base.ModelObject;
+
+public interface Associable extends ModelObject {
 
 }",ensured that only ModelObjects can be Associables,citygml4j_citygml4j,val,java
c5952c153cd6d10df77a4606a79c079d88b8d37c,"diff --git a/plugin/src/main/java/io/fabric8/maven/plugin/util/KubernetesResourceUtil.java b/plugin/src/main/java/io/fabric8/maven/plugin/util/KubernetesResourceUtil.java
index <HASH>..<HASH> 100644
--- a/plugin/src/main/java/io/fabric8/maven/plugin/util/KubernetesResourceUtil.java
+++ b/plugin/src/main/java/io/fabric8/maven/plugin/util/KubernetesResourceUtil.java
@@ -118,6 +118,7 @@ public class KubernetesResourceUtil {
     static {
         String mapping[] =
             {
+                ""service"", ""Service"",
                 ""svc"", ""Service"",
                 ""rc"", ""ReplicationController"",
                 ""rs"", ""ReplicaSet""",lets allow 'service' as a file kind in addition to 'svc',fabric8io_fabric8-maven-plugin,train,java
1d790e7ec6c51061feaa70f48f114f1c59695048,"diff --git a/src/test/java/org/influxdb/InfluxDBTest.java b/src/test/java/org/influxdb/InfluxDBTest.java
index <HASH>..<HASH> 100644
--- a/src/test/java/org/influxdb/InfluxDBTest.java
+++ b/src/test/java/org/influxdb/InfluxDBTest.java
@@ -71,6 +71,7 @@ public class InfluxDBTest {
 			Thread.sleep(100L);
 		} while (!influxDBstarted);
 		this.influxDB.setLogLevel(LogLevel.NONE);
+		System.out.println(""Connected to InfluxDB Version: "" + this.influxDB.version());
 	}
 
 	/**
@@ -476,6 +477,5 @@ public class InfluxDBTest {
 	public void testVersion() {
 		String version = this.influxDB.version();
 		Assert.assertNotNull(version);
-		System.out.println(""Version: "" + version);
 	}
 }",Print the InfluxDB Version used for unit-test.,influxdata_influxdb-java,train,java
eeed9b397bdf2f441424c2dd18ad089558ba3030,"diff --git a/sonar-core/src/main/java/org/sonar/core/issue/db/IssueStorage.java b/sonar-core/src/main/java/org/sonar/core/issue/db/IssueStorage.java
index <HASH>..<HASH> 100644
--- a/sonar-core/src/main/java/org/sonar/core/issue/db/IssueStorage.java
+++ b/sonar-core/src/main/java/org/sonar/core/issue/db/IssueStorage.java
@@ -142,7 +142,7 @@ public abstract class IssueStorage {
       }
     }
     FieldDiffs diffs = issue.currentChange();
-    if (diffs != null) {
+    if (!issue.isNew() && diffs != null) {
       IssueChangeDto changeDto = IssueChangeDto.of(issue.key(), diffs);
       mapper.insert(changeDto);
     }",SONAR-<I> do not insert changelog when issue is new,SonarSource_sonarqube,train,java
de3cc84ef24db60aeee8851a25654cd43fb785e8,"diff --git a/src/test/java/org/dita/dost/util/JobTest.java b/src/test/java/org/dita/dost/util/JobTest.java
index <HASH>..<HASH> 100644
--- a/src/test/java/org/dita/dost/util/JobTest.java
+++ b/src/test/java/org/dita/dost/util/JobTest.java
@@ -72,8 +72,8 @@ public final class JobTest {
     }
 
     @Test
-    public void testGetValue() {
-        assertEquals(new File(""/foo/bar"").toURI(), job.getInputDir());
+    public void testGetValue() throws URISyntaxException {
+        assertEquals(new URI(""file:/foo/bar""), job.getInputDir());
     }
 
     @AfterClass",Simplify Job unit test to not rely on File,dita-ot_dita-ot,val,java
4f3918931a88dace7e3e1cd38954c8e45533ce0f,"diff --git a/rapidoid-sql/src/main/java/org/rapidoid/sql/SQL.java b/rapidoid-sql/src/main/java/org/rapidoid/sql/SQL.java
index <HASH>..<HASH> 100644
--- a/rapidoid-sql/src/main/java/org/rapidoid/sql/SQL.java
+++ b/rapidoid-sql/src/main/java/org/rapidoid/sql/SQL.java
@@ -58,7 +58,6 @@ public class SQL {
 			DEFAULT.driver(driver);
 			DEFAULT.user(username);
 			DEFAULT.password(password);
-			DEFAULT.pooled();
 
 			String maskedPassword = U.isEmpty(password) ? ""<empty>"" : ""<specified>"";
 			Log.info(""Initialized the default JDBC/SQL API"", ""url"", url, ""driver"", driver, ""username"", username,",The SQL API will not be pooled by default.,rapidoid_rapidoid,test,java
